Post-nr	Navn	Samtlige husstande	Samtlige - ekskl. Nej tak	Samtlige - ekskl. Nej tak gratisaviser	By	By - ekskl. Nej tak	By - ekskl. Nej tak gratisaviser	Land	Land - ekskl. Nej tak	Land - ekskl. Nej tak gratisaviser	Etager	Etager - ekskl. Nej tak	Etager - ekskl. Nej tak gratisaviser	V/RH	Villa/Række - ekskl. Nej tak	Villa/Række - ekskl. Nej tak gratisaviser	Jordbrug	Jordbrug - ekskl. Nej tak	Jordbrug - ekskl. Nej tak gratisaviser	Kontor	Kontor - ekskl. Nej tak	Kontor - ekskl. Nej tak gratisaviser	Butik	Butik - ekskl. Nej tak	Butik - ekskl. Nej tak gratisaviser	Fri-hus	Fri-hus - ekskl. Nej tak	Fri-hus - ekskl. Nej tak gratisaviser
4640	Faxe	3214	2049	2914	2014	1335	1852	1200	714	1062	584	373	478	2427	1560	2248	203	116	188	129	103	121	54	49	52	176	165	172
4652	Hårlev	2348	1461	2198	1394	899	1307	954	562	891	32	13	15	2130	1332	2007	186	116	176	79	61	76	25	23	24	1	1	1
4653	Karise	1654	1055	1511	1052	677	957	602	378	554	74	28	36	1440	942	1339	140	85	136	42	26	35	14	12	13	14	12	13
4654	Faxe Ladeplads	1545	971	1439	1333	843	1239	212	128	200	88	58	79	1434	902	1338	23	11	22	41	34	41	15	14	15	447	410	432
4660	Store Heddinge	3070	2066	2956	1751	1205	1687	1319	861	1269	222	160	206	2567	1725	2477	281	181	273	106	92	99	71	67	70	19	16	17
4671	Strøby	1003	664	929	30	22	29	973	642	900	16	9	13	906	604	838	81	51	78	9	8	8	6	5	5	385	341	367
4672	Klippinge	673	436	645	270	186	259	403	250	386	53	41	52	532	341	507	88	54	86	21	19	19	4	3	4	7	5	5
4673	Rødvig Stevns	1368	831	1301	836	512	797	532	319	504	38	27	36	1266	772	1203	64	32	62	30	28	29	12	8	12	429	398	411
4681	Herfølge	2889	1598	2543	2632	1458	2302	257	140	241	145	43	62	2675	1519	2417	69	36	64	126	104	115	25	19	23	0	0	0
4683	Rønnede	1568	998	1464	1113	735	1058	455	263	406	54	34	36	1362	873	1285	152	91	143	76	66	74	14	14	14	4	4	4
4684	Holmegaard	3647	2186	3373	2880	1716	2666	767	470	707	59	20	31	3435	2075	3193	153	91	149	77	61	69	27	24	26	5	4	4
4700	Næstved	26712	14768	23411	24279	13383	21150	2433	1385	2261	9281	5087	7403	16895	9389	15498	536	292	510	1067	902	986	569	528	545	17	14	17
4720	Præstø	3759	2248	3494	2223	1349	2042	1536	899	1452	512	317	450	3085	1842	2890	162	89	154	117	87	111	75	67	74	454	397	426
4733	Tappernøje	1511	919	1397	763	499	706	748	420	691	20	12	16	1358	844	1252	133	63	129	32	23	27	15	14	15	7	6	6
4735	Mern	968	612	913	472	322	451	496	290	462	51	18	48	803	523	755	114	71	110	25	18	20	3	3	3	127	113	118
4736	Karrebæksminde	1197	752	1124	769	459	726	428	293	398	19	10	16	1154	727	1085	24	15	23	19	16	16	16	14	15	1675	1524	1579
4750	Lundby	1549	944	1454	586	344	549	963	600	905	20	11	15	1311	797	1231	218	136	208	34	19	28	13	12	13	182	156	167
4760	Vordingborg	9580	5673	8711	8479	4968	7668	1101	705	1043	2234	1281	1861	7154	4273	6667	192	119	183	332	274	316	212	195	204	758	687	715
4771	Kalvehave	797	484	748	617	367	581	180	117	167	8	6	8	761	459	712	28	19	28	13	10	11	7	6	7	78	70	74
4772	Langebæk	384	229	347	2	2	2	382	227	345	0	0	0	339	200	304	45	29	43	10	8	9	0	0	0	30	26	27
4773	Stensved	837	548	802	681	464	656	156	84	146	33	24	32	773	507	742	31	17	28	17	16	17	10	8	10	5	5	5
4780	Stege	3818	2408	3597	2409	1541	2263	1409	867	1334	459	297	390	3084	1948	2942	275	163	265	127	98	124	91	79	87	1333	1178	1268
4791	Borre	653	392	592	246	146	208	407	246	384	31	1	2	542	339	517	80	52	73	15	14	14	10	9	10	134	90	109
4792	Askeby	711	394	640	291	165	244	420	229	396	46	9	9	530	302	499	135	83	132	17	14	17	4	4	4	168	137	156
4793	Bogø By	572	376	538	340	214	318	232	162	220	3	2	2	529	348	497	40	26	39	10	7	10	2	2	2	349	319	336
4800	Nykøbing F	13938	8451	12509	12661	7709	11300	1277	742	1209	5147	3130	4332	8602	5232	7995	189	89	182	572	478	526	349	319	333	56	42	50
4840	Nørre Alslev	2926	1843	2702	1397	873	1276	1529	970	1426	37	24	34	2635	1665	2427	254	154	241	107	85	95	43	40	42	32	24	29
4850	Stubbekøbing	2129	1311	1931	1317	832	1181	812	479	750	127	77	96	1895	1183	1732	107	51	103	73	52	63	35	34	34	334	299	315
4862	Guldborg	669	451	620	67	42	60	602	409	560	0	0	0	603	414	558	66	37	62	13	11	12	8	6	8	21	18	21
4863	Eskilstrup	1105	714	1028	727	475	668	378	239	360	33	4	5	985	658	936	87	52	87	18	15	18	7	7	7	7	4	5
4871	Horbelev	679	427	628	275	193	259	404	234	369	1	1	1	621	394	572	57	32	55	13	11	11	4	4	4	30	22	25
4872	Idestrup	838	553	765	569	372	518	269	181	247	36	16	16	764	511	714	38	26	35	14	10	12	8	5	8	808	734	767
4873	Væggerløse	1631	1069	1550	652	420	624	979	649	926	11	9	10	1575	1027	1496	45	33	44	55	47	54	33	30	33	4165	3833	3973
4874	Gedser	788	521	721	529	353	489	259	168	232	8	5	6	753	500	689	27	16	26	20	16	19	11	9	11	975	920	947
4880	Nysted	1366	808	1225	818	483	726	548	325	499	112	83	101	1185	696	1055	69	29	69	40	32	36	17	16	17	231	197	210
4891	Toreby L	800	527	736	355	223	310	445	304	426	61	49	53	660	428	608	79	50	75	23	20	21	5	4	5	5	4	5
4892	Kettinge	691	457	649	179	125	165	512	332	484	16	12	14	597	400	557	78	45	78	19	14	17	4	3	4	17	12	14
4894	Øster Ulslev	450	295	427	0	0	0	450	295	427	4	4	4	403	266	380	43	25	43	8	6	8	6	5	6	24	21	23
4895	Errindlev	322	239	304	0	0	0	322	239	304	0	0	0	291	216	273	31	23	31	3	3	3	2	2	2	22	17	18
4900	Nakskov	8917	6398	8314	7511	5362	6970	1406	1036	1344	1838	1307	1633	6890	4952	6498	189	139	183	274	241	259	182	169	177	463	421	436
4912	Harpelunde	376	292	358	23	18	22	353	274	336	0	0	0	349	275	333	27	17	25	5	4	5	0	0	0	33	29	32
4913	Horslunde	1061	723	976	345	243	301	716	480	675	3	0	0	960	659	879	98	64	97	20	17	20	10	9	10	98	71	81
4920	Søllested	1240	826	1128	719	464	643	521	362	485	13	10	13	1109	731	1000	118	85	115	35	24	31	12	11	12	24	21	21
4930	Maribo	4432	2983	4094	3112	2072	2855	1320	911	1239	880	593	747	3419	2305	3218	133	85	129	216	176	195	120	113	117	18	13	15
4941	Bandholm	532	368	489	322	220	291	210	148	198	11	9	9	493	341	454	28	18	26	16	13	15	3	2	2	17	14	15
4942	Askø	33	20	28	0	0	0	33	20	28	0	0	0	27	15	22	6	5	6	0	0	0	2	2	2	163	157	163
4943	Torrig L	304	226	289	1	0	1	303	226	288	0	0	0	278	207	264	26	19	25	7	4	4	2	1	2	31	28	28
4944	Fejø	313	233	294	1	1	1	312	232	293	0	0	0	280	211	261	33	22	33	6	5	5	5	4	4	249	223	235
4945	Femø	78	57	74	0	0	0	78	57	74	0	0	0	63	45	59	15	12	15	3	2	3	2	2	2	130	115	124
4951	Nørreballe	334	223	318	14	12	13	320	211	305	1	1	1	308	207	294	25	15	23	6	5	6	4	3	4	1	1	1
4952	Stokkemarke	480	332	451	219	158	207	261	174	244	0	0	0	425	293	399	55	39	52	16	15	16	2	2	2	7	6	6
4953	Vesterborg	221	155	205	1	1	1	220	154	204	0	0	0	185	131	170	36	24	35	4	4	4	0	0	0	26	24	25
4960	Holeby	1262	912	1194	773	581	726	489	331	468	27	20	22	1168	852	1106	67	40	66	48	42	45	14	14	14	8	6	8
4970	Rødby	3066	2119	2783	2221	1540	1986	845	579	797	337	237	301	2585	1798	2343	144	84	139	111	103	106	50	46	49	815	743	770
4983	Dannemare	721	525	695	150	107	144	571	418	551	0	0	0	634	465	610	87	60	85	22	19	21	8	5	8	765	727	748
4990	Sakskøbing	4112	2729	3757	2483	1622	2264	1629	1107	1493	754	435	582	3140	2152	2970	218	142	205	122	103	116	65	62	65	16	13	13
5000	Odense C	31681	14530	22896	31680	14530	22895	1	0	1	23998	11304	16631	7682	3226	6264	1	0	1	1473	1221	1313	932	843	871	205	201	202
5200	Odense V	5390	2556	3991	5194	2450	3813	196	106	178	3337	1555	2186	2018	982	1772	35	19	33	101	85	88	57	50	54	234	234	234
5210	Odense NV	8419	4030	7144	8279	3963	7022	140	67	122	1047	442	651	7315	3559	6443	57	29	50	134	104	121	90	83	86	1	1	1
5220	Odense SØ	9475	4670	7523	8894	4379	7014	581	291	509	2638	1519	1970	6716	3098	5444	121	53	109	466	393	419	192	184	186	214	210	212
5230	Odense M	9709	3430	7032	9709	3430	7032	0	0	0	4730	1644	3009	4979	1786	4023	0	0	0	239	182	199	84	76	78	3	3	3
5240	Odense NØ	7350	4211	6028	7054	4055	5763	296	156	265	3188	1905	2447	4138	2292	3560	24	14	21	87	71	75	54	48	54	212	206	206
5250	Odense SV	10503	4709	8990	9802	4343	8384	701	366	606	1161	589	830	9212	4050	8043	130	70	117	317	246	284	125	106	119	39	39	39
5260	Odense S	8587	3873	7090	7957	3570	6521	630	303	569	1660	714	1141	6807	3101	5837	120	58	112	392	335	364	69	58	64	126	121	123
5270	Odense N	8603	4259	7261	7824	3860	6577	779	399	684	910	480	650	7462	3669	6404	231	110	207	146	108	134	62	54	59	4	3	3
5290	Marslev	513	259	476	204	112	186	309	147	290	11	7	9	434	225	402	68	27	65	21	10	17	3	2	3	0	0	0
5300	Kerteminde	4139	1848	3777	3381	1512	3064	758	336	713	957	423	780	3054	1363	2874	128	62	123	131	105	119	86	79	82	488	460	471
5320	Agedrup	1337	721	1197	1243	663	1106	94	58	91	23	15	16	1281	686	1148	33	20	33	16	15	16	9	8	9	0	0	0
5330	Munkebo	2839	1522	2557	2661	1418	2392	178	104	165	281	164	236	2506	1327	2271	52	31	50	150	128	141	26	24	25	84	76	79
5350	Rynkeby	387	208	368	265	150	256	122	58	112	25	22	25	336	175	317	26	11	26	11	11	11	4	2	3	0	0	0
5370	Mesinge	430	225	396	141	74	126	289	151	270	2	1	2	361	185	330	67	39	64	8	4	8	4	4	4	234	221	227
5380	Dalby	259	142	245	157	95	149	102	47	96	1	1	1	222	126	209	36	15	35	6	5	6	3	3	3	48	45	45
5390	Martofte	219	108	204	0	0	0	219	108	204	0	0	0	183	96	170	36	12	34	0	0	0	2	2	2	547	498	525
5400	Bogense	3429	1920	3200	2103	1176	1966	1326	744	1234	351	200	292	2804	1569	2646	274	151	262	98	76	94	66	60	64	485	449	463
5450	Otterup	5130	2900	4826	2599	1469	2428	2531	1431	2398	354	206	295	4135	2346	3910	641	348	621	146	115	140	69	60	69	2388	2239	2310
5462	Morud	1051	472	946	697	312	618	354	160	328	0	0	0	955	426	853	96	46	93	16	10	14	6	6	6	1	1	1
5463	Harndrup	685	394	629	269	162	249	416	232	380	0	0	0	575	331	526	110	63	103	21	13	19	3	2	3	0	0	0
5464	Brenderup Fyn	1031	610	954	466	274	430	565	336	524	30	14	15	874	521	820	127	75	119	24	14	18	11	9	10	387	362	377
5466	Asperup	724	390	683	342	178	323	382	212	360	4	4	4	619	330	582	101	56	97	9	5	8	7	6	7	266	247	257
5471	Søndersø	3197	1730	3006	1968	1046	1848	1229	684	1158	96	33	89	2711	1481	2543	390	216	374	121	87	108	37	31	36	0	0	0
5474	Veflinge	568	330	540	373	216	355	195	114	185	0	0	0	492	291	469	76	39	71	13	5	10	4	4	4	0	0	0
5485	Skamby	350	198	330	184	107	175	166	91	155	0	0	0	285	158	268	65	40	62	9	7	9	3	3	3	0	0	0
5491	Blommenslyst	560	291	488	4	2	3	556	289	485	3	3	3	455	238	392	102	50	93	21	13	19	11	7	11	0	0	0
5492	Vissenbjerg	2820	1439	2527	2068	1067	1840	752	372	687	183	84	110	2375	1232	2170	262	123	247	110	91	106	43	32	41	2	1	1
5500	Middelfart	10754	5137	9559	9886	4664	8756	868	473	803	1995	886	1512	8549	4126	7845	210	125	202	411	343	380	214	186	200	376	347	360
5540	Ullerslev	2398	1376	2219	1466	855	1345	932	521	874	113	57	69	1955	1142	1834	330	177	316	55	42	52	22	17	21	39	37	38
5550	Langeskov	2621	1314	2344	2109	1051	1886	512	263	458	168	72	99	2341	1189	2142	112	53	103	92	69	86	44	37	44	4	2	2
5560	Aarup	2697	1353	2436	1583	802	1427	1114	551	1009	130	48	78	2321	1180	2129	246	125	229	89	71	80	37	33	36	6	6	6
5580	Nørre Aaby	2032	1110	1828	1411	806	1290	621	304	538	234	95	139	1643	929	1538	155	86	151	85	65	77	26	21	24	40	38	40
5591	Gelsted	1227	690	1083	642	362	559	585	328	524	57	23	26	1059	606	949	111	61	108	30	19	26	9	8	9	6	4	5
5592	Ejby	1635	914	1483	1016	573	903	619	341	580	128	57	79	1351	760	1252	156	97	152	75	56	72	22	18	20	7	3	4
5600	Faaborg	7891	4005	7301	5853	3013	5371	2038	992	1930	1188	635	949	6159	3121	5825	544	249	527	286	217	267	159	139	152	1015	928	977
5601	Lyø	53	39	50	0	0	0	53	39	50	0	0	0	34	25	31	19	14	19	0	0	0	0	0	0	38	37	37
5602	Avernakø	58	33	55	1	1	1	57	32	54	0	0	0	35	19	32	23	14	23	0	0	0	0	0	0	63	59	61
5603	Bjørnø	15	10	15	0	0	0	15	10	15	0	0	0	7	5	7	8	5	8	1	1	1	0	0	0	10	10	10
5610	Assens	4787	2712	4394	3598	2024	3251	1189	688	1143	1178	682	960	3386	1917	3217	223	113	217	126	105	123	112	108	111	287	252	270
5620	Glamsbjerg	2779	1544	2606	1748	990	1645	1031	554	961	101	51	63	2413	1346	2287	265	147	256	92	65	87	41	35	38	9	7	9
5631	Ebberup	794	480	763	367	244	355	427	236	408	0	0	0	704	429	675	90	51	88	12	12	12	7	6	7	216	191	199
5642	Millinge	634	296	549	417	208	379	217	88	170	37	6	6	556	273	504	41	17	39	15	10	10	4	2	2	188	170	181
5672	Broby	2884	1527	2597	1751	937	1554	1133	590	1043	32	19	27	2457	1303	2207	395	205	363	69	47	65	30	20	29	7	6	6
5683	Haarby	2370	1231	2225	1303	684	1204	1067	547	1021	32	11	27	2142	1120	2007	196	100	191	80	58	72	25	22	24	165	136	146
5690	Tommerup	3580	1761	3230	2643	1307	2363	937	454	867	82	26	38	3176	1575	2884	322	160	308	120	83	112	46	35	43	13	10	11
5700	Svendborg	21458	9294	18428	19686	8474	16775	1772	820	1653	5712	2684	4195	15307	6394	13813	439	216	420	783	618	709	466	420	449	465	397	430
5750	Ringe	5660	2791	5160	3277	1616	2982	2383	1175	2178	680	327	488	4396	2174	4114	584	290	558	224	173	205	102	95	101	5	4	4
5762	Vester Skerninge	2212	907	1920	1502	604	1271	710	303	649	92	14	19	1879	805	1678	241	88	223	44	32	40	20	15	18	17	10	15
5771	Stenstrup	1913	993	1761	970	511	907	943	482	854	36	15	20	1641	855	1521	236	123	220	49	30	44	14	14	14	2	2	2
5772	Kværndrup	1250	620	1083	866	424	726	384	196	357	63	26	38	1061	532	925	126	62	120	44	28	35	14	10	13	3	1	2
5792	Årslev	3600	1607	3212	2724	1210	2416	876	397	796	78	14	22	3260	1471	2949	262	122	241	106	78	100	30	26	29	1	1	1
5800	Nyborg	10225	5140	9292	8973	4479	8110	1252	661	1182	3449	1744	2906	6576	3289	6193	200	107	193	318	264	298	201	188	198	379	309	337
5853	Ørbæk	2235	1188	2044	1509	813	1361	726	375	683	103	33	46	1761	974	1645	371	181	353	54	38	46	26	19	23	3	3	3
5854	Gislev	933	484	834	656	350	570	277	134	264	13	9	13	817	426	720	103	49	101	25	20	22	8	4	7	0	0	0
5856	Ryslinge	1043	550	971	856	463	798	187	87	173	13	7	10	989	522	922	41	21	39	27	16	25	10	7	10	0	0	0
5863	Ferritslev Fyn	769	362	637	627	300	513	142	62	124	6	5	6	726	338	598	37	19	33	17	13	15	7	5	6	0	0	0
5871	Frørup	721	387	679	185	106	176	536	281	503	0	0	0	565	303	528	156	84	151	11	8	10	6	3	5	210	187	200
5874	Hesselager	1167	559	1016	697	330	585	470	229	431	98	25	30	930	461	853	139	73	133	23	17	22	16	11	13	215	202	208
5881	Skårup Fyn	1278	540	1130	944	398	818	334	142	312	37	14	22	1113	474	985	128	52	123	35	19	30	10	8	8	19	17	19
5882	Vejstrup	394	184	350	172	70	142	222	114	208	0	0	0	316	148	276	78	36	74	11	3	9	1	1	1	41	37	40
5883	Oure	421	190	391	223	100	202	198	90	189	5	4	4	329	150	303	87	36	84	16	8	14	11	8	11	8	7	7
5884	Gudme	586	293	524	414	198	361	172	95	163	16	6	9	495	246	441	75	41	74	22	16	21	4	3	4	0	0	0
5892	Gudbjerg Sydfyn	511	256	477	223	111	207	288	145	270	0	0	0	401	209	377	110	47	100	10	9	10	4	4	4	2	1	1
5900	Rudkøbing	4074	2338	3775	2990	1697	2732	1084	641	1043	573	315	463	3305	1906	3119	196	117	193	121	99	115	112	101	110	455	372	426
5932	Humble	967	607	919	443	278	409	524	329	510	0	0	0	840	526	792	127	81	127	23	15	22	22	16	21	1217	1099	1157
5935	Bagenkop	390	234	374	250	152	244	140	82	130	7	3	7	346	208	330	37	23	37	16	15	15	9	8	9	191	155	179
5943	Strynø	92	49	85	1	0	1	91	49	84	0	0	0	66	35	62	26	14	23	2	1	2	2	2	2	80	68	70
5953	Tranekær	1679	972	1560	872	507	798	807	465	762	84	37	42	1470	865	1396	125	70	122	38	25	35	23	17	23	1331	1153	1265
5960	Marstal	1866	1150	1705	1430	861	1287	436	289	418	308	143	203	1484	960	1429	74	47	73	71	58	67	50	39	45	328	184	280
5965	Birkholm	5	5	5	0	0	0	5	5	5	0	0	0	5	5	5	0	0	0	0	0	0	0	0	0	13	12	12
5970	Ærøskøbing	1449	883	1362	607	348	541	842	535	821	120	30	65	1064	690	1034	265	163	263	69	60	66	49	40	49	305	261	292
5985	Søby Ærø	481	318	466	273	182	263	208	136	203	0	0	0	431	284	416	50	34	50	17	16	17	12	8	10	137	115	129
6000	Kolding	31087	14906	25976	30229	14483	25195	858	423	781	12497	6661	9462	18413	8159	16348	177	86	166	1381	1155	1261	500	452	478	40	34	34
6040	Egtved	3384	1602	3098	2490	1162	2269	894	440	829	112	66	93	3055	1425	2801	217	111	204	87	69	75	31	26	28	7	5	7
6051	Almind	831	398	751	671	316	605	160	82	146	9	4	5	787	381	713	35	13	33	8	6	7	3	2	2	0	0	0
6052	Viuf	414	215	369	250	137	215	164	78	154	27	22	26	356	181	312	31	12	31	9	6	7	2	1	1	0	0	0
6064	Jordrup	566	283	472	74	40	51	492	243	421	37	16	21	463	237	391	66	30	60	10	6	9	4	3	3	0	0	0
6070	Christiansfeld	2760	1476	2447	1590	852	1377	1170	624	1070	378	208	284	2145	1152	1934	237	116	229	83	64	75	30	30	30	1	1	1
6091	Bjert	1123	501	1001	833	349	738	290	152	263	12	9	9	1041	459	928	70	33	64	32	23	28	10	7	9	203	189	197
6092	Sønder Stenderup	398	216	357	265	135	231	133	81	126	2	2	2	360	196	320	36	18	35	6	5	6	1	1	1	30	26	28
6093	Sjølund	450	224	407	194	107	178	256	117	229	7	5	5	404	197	364	39	22	38	15	11	14	3	2	3	258	243	251
6094	Hejls	511	266	474	102	50	94	409	216	380	20	16	19	465	244	430	26	6	25	16	12	14	4	4	4	783	737	759
6100	Haderslev	17076	9216	15265	13306	7126	11700	3770	2090	3565	6451	3681	5272	10183	5310	9565	442	225	428	466	391	429	246	222	233	1471	1350	1407
6200	Aabenraa	14325	7929	12786	11877	6508	10521	2448	1421	2265	4342	2430	3484	9659	5320	8993	324	179	309	495	428	468	274	259	273	453	424	435
6210	Barsø	10	9	10	0	0	0	10	9	10	0	0	0	6	6	6	4	3	4	0	0	0	0	0	0	3	3	3
6230	Rødekro	5365	3054	4930	4099	2339	3756	1266	715	1174	295	120	176	4733	2759	4431	337	175	323	182	166	174	59	53	55	29	28	28
6240	Løgumkloster	3124	1961	2849	1929	1193	1702	1195	768	1147	228	111	131	2616	1689	2444	280	161	274	79	64	71	32	26	30	5	5	5
6261	Bredebro	1544	1048	1482	715	502	683	829	546	799	34	27	30	1322	913	1266	188	108	186	41	35	41	26	24	26	78	61	69
6270	Tønder	6080	3931	5679	4459	2870	4122	1621	1061	1557	1517	1030	1303	4294	2738	4113	269	163	263	215	176	202	156	144	150	18	15	16
6280	Højer	1216	821	1138	659	447	614	557	374	524	66	39	46	1032	701	976	118	81	116	28	20	26	14	10	14	109	91	99
6300	Gråsten	3633	2056	3323	2713	1517	2452	920	539	871	696	407	601	2858	1606	2644	79	43	78	101	78	93	57	54	57	124	99	110
6310	Broager	2118	1184	1924	1466	837	1341	652	347	583	196	100	147	1844	1048	1699	78	36	78	51	43	46	16	16	16	345	310	322
6320	Egernsund	732	423	675	698	409	644	34	14	31	8	7	7	724	416	668	0	0	0	15	12	14	5	5	5	215	201	204
6330	Padborg	2738	1746	2471	2394	1508	2143	344	238	328	369	207	262	2271	1478	2113	98	61	96	212	191	202	50	46	49	0	0	0
6340	Kruså	2117	1277	1922	2002	1200	1812	115	77	110	79	39	64	1976	1203	1796	62	35	62	43	32	36	30	28	29	55	47	49
6360	Tinglev	2204	1431	2049	1485	996	1373	719	435	676	206	129	166	1786	1192	1678	212	110	205	89	76	83	22	19	21	2	1	2
6372	Bylderup-Bov	1547	1019	1448	625	395	564	922	624	884	55	7	15	1295	888	1240	197	124	193	35	27	33	12	9	12	6	6	6
6392	Bolderslev	788	521	731	546	362	499	242	159	232	27	11	14	677	453	633	84	57	84	17	14	16	3	1	3	0	0	0
6400	Sønderborg	19055	9325	15877	17906	8718	14801	1149	607	1076	8065	3661	5663	10815	5580	10047	175	84	167	599	489	545	341	320	327	41	30	35
6430	Nordborg	6059	3544	5479	4560	2652	4041	1499	892	1438	536	306	399	5317	3133	4883	206	105	197	100	75	88	51	44	47	140	135	138
6440	Augustenborg	3009	1782	2779	2141	1251	1964	868	531	815	232	96	154	2646	1607	2499	131	79	126	47	38	43	28	23	27	83	69	73
6470	Sydals	2909	1624	2701	1738	908	1595	1171	716	1106	3	3	3	2753	1541	2552	153	80	146	39	34	36	15	14	14	1091	984	1008
6500	Vojens	6781	4110	6201	4757	2877	4302	2024	1233	1899	758	433	571	5562	3426	5192	461	251	438	189	165	177	79	70	77	1	1	1
6510	Gram	2255	1380	2064	1566	980	1446	689	400	618	108	58	78	1936	1195	1782	211	127	204	68	51	62	32	25	31	0	0	0
6520	Toftlund	2344	1518	2168	1666	1078	1522	678	440	646	173	91	117	1987	1328	1874	184	99	177	93	75	88	45	41	43	458	377	400
6534	Agerskov	883	581	820	534	369	509	349	212	311	62	29	35	728	489	697	93	63	88	29	23	26	13	8	9	1	1	1
6535	Branderup J	283	188	269	1	0	1	282	188	268	0	0	0	224	150	211	59	38	58	6	3	6	0	0	0	0	0	0
6541	Bevtoft	572	355	547	345	205	327	227	150	220	4	4	4	488	303	467	80	48	76	10	7	9	3	2	2	1	1	1
6560	Sommersted	1017	576	886	527	298	446	490	278	440	18	16	16	834	471	716	165	89	154	23	15	20	12	9	11	0	0	0
6580	Vamdrup	3417	1685	2985	2257	1130	1962	1160	555	1023	360	179	264	2707	1332	2391	350	174	330	116	94	102	36	29	34	0	0	0
6600	Vejen	7093	3865	6479	5904	3223	5367	1189	642	1112	830	469	715	5890	3206	5409	373	190	355	266	217	250	106	96	105	3	3	3
6621	Gesten	589	325	549	400	229	368	189	96	181	7	2	4	509	281	474	73	42	71	16	13	14	1	1	1	1	1	1
6622	Bække	815	474	766	482	302	458	333	172	308	13	3	8	668	402	630	134	69	128	20	14	20	5	4	5	4	2	3
6623	Vorbasse	965	546	877	594	336	527	371	210	350	15	11	12	826	467	744	124	68	121	30	22	29	9	6	9	5	3	3
6630	Rødding	4768	2634	4430	2948	1620	2707	1820	1014	1723	251	158	207	4013	2237	3734	504	239	489	163	125	156	60	50	57	10	5	7
6640	Lunderskov	1941	868	1647	1319	569	1098	622	299	549	116	42	62	1701	777	1463	124	49	122	58	45	48	15	12	14	0	0	0
6650	Brørup	2979	1795	2870	2130	1306	2054	849	489	816	184	132	176	2530	1524	2435	265	139	259	109	82	101	42	38	42	5	4	5
6660	Lintrup	295	179	280	1	0	0	294	179	280	0	0	0	219	140	209	76	39	71	8	6	7	0	0	0	0	0	0
6670	Holsted	1847	1107	1738	1541	924	1446	306	183	292	97	68	82	1572	937	1484	178	102	172	53	48	50	20	20	20	1	1	1
6682	Hovborg	266	154	250	180	104	167	86	50	83	0	0	0	226	128	210	40	26	40	7	5	7	2	2	2	44	40	44
6683	Føvling	455	264	422	92	52	81	363	212	341	0	0	0	321	192	294	134	72	128	9	6	9	1	1	1	4	3	3
6690	Gørding	1158	683	1031	842	471	728	316	212	303	36	24	30	953	547	836	169	112	165	17	14	17	10	7	9	0	0	0
6700	Esbjerg	17851	8497	14253	17851	8497	14253	0	0	0	12060	5801	9065	5791	2696	5188	0	0	0	852	720	801	516	478	498	27	27	27
6705	Esbjerg Ø	7537	3983	6340	7347	3872	6162	190	111	178	3637	1852	2782	3819	2085	3480	81	46	78	225	202	216	65	56	62	101	101	101
6710	Esbjerg V	10592	4941	9439	10240	4754	9116	352	187	323	986	371	628	9490	4510	8705	116	60	106	242	200	224	77	72	76	304	267	283
6715	Esbjerg N	5293	2509	4681	4940	2316	4345	353	193	336	774	367	627	4367	2063	3910	152	79	144	196	175	187	96	93	93	0	0	0
6720	Fanø	1720	663	1406	1545	579	1261	175	84	145	78	41	57	1612	609	1322	30	13	27	56	47	49	68	53	57	2792	2639	2704
6731	Tjæreborg	1394	639	1245	1143	503	1013	251	136	232	8	3	8	1284	585	1145	102	51	92	28	18	26	5	5	5	8	8	8
6740	Bramming	5235	2914	4796	4024	2239	3650	1211	675	1146	547	313	469	4275	2373	3929	413	228	398	124	104	114	57	54	54	2	2	2
6752	Glejbjerg	570	375	532	360	245	332	210	130	200	0	0	0	452	307	420	118	68	112	11	8	11	4	2	3	0	0	0
6753	Agerbæk	782	479	717	647	389	592	135	90	125	29	24	27	692	419	633	61	36	57	25	19	21	10	10	10	1	1	1
6760	Ribe	7651	4159	7038	5583	2937	5083	2068	1222	1955	1064	581	872	5993	3242	5590	594	336	576	227	197	216	127	121	125	89	86	88
6771	Gredstedbro	1137	697	1085	664	415	629	473	282	456	26	8	14	980	628	944	131	61	127	26	18	23	6	3	5	1	1	1
6780	Skærbæk	3074	2034	2876	1700	1120	1549	1374	914	1327	108	79	104	2663	1766	2472	303	189	300	115	85	108	56	49	54	26	18	20
6792	Rømø	335	240	318	203	146	191	132	94	127	1	0	0	309	220	293	25	20	25	34	30	33	35	32	33	1800	1712	1736
6800	Varde	10735	5382	9825	9164	4573	8316	1571	809	1509	1854	1041	1626	8260	4018	7589	621	323	610	332	255	305	185	161	177	4	1	2
6818	Årre	1292	654	1180	521	250	472	771	404	708	4	3	4	1084	556	980	204	95	196	41	25	38	6	3	6	2	1	1
6823	Ansager	1331	804	1234	942	578	855	389	226	379	144	61	95	997	629	951	190	114	188	57	49	57	10	10	10	156	151	151
6830	Nørre Nebel	1621	901	1525	1028	583	953	593	318	572	37	32	37	1398	791	1305	186	78	183	56	46	54	47	36	45	1560	1109	1167
6840	Oksbøl	1735	886	1585	1529	767	1388	206	119	197	32	14	26	1643	839	1500	60	33	59	34	31	34	18	13	18	975	874	909
6851	Janderup Vestj	558	281	526	350	188	334	208	93	192	10	10	10	460	236	430	88	35	86	17	12	15	1	1	1	0	0	0
