Post-nr	Navn	Samtlige husstande	Samtlige - ekskl. Nej tak	Samtlige - ekskl. Nej tak gratisaviser	By	By - ekskl. Nej tak	By - ekskl. Nej tak gratisaviser	Land	Land - ekskl. Nej tak	Land - ekskl. Nej tak gratisaviser	Etager	Etager - ekskl. Nej tak	Etager - ekskl. Nej tak gratisaviser	V/RH	Villa/Række - ekskl. Nej tak	Villa/Række - ekskl. Nej tak gratisaviser	Jordbrug	Jordbrug - ekskl. Nej tak	Jordbrug - ekskl. Nej tak gratisaviser	Kontor	Kontor - ekskl. Nej tak	Kontor - ekskl. Nej tak gratisaviser	Butik	Butik - ekskl. Nej tak	Butik - ekskl. Nej tak gratisaviser	Fri-hus	Fri-hus - ekskl. Nej tak	Fri-hus - ekskl. Nej tak gratisaviser
2700	Brønshøj	21107	9372	15729	21107	9372	15729	0	0	0	15082	7089	10570	6025	2283	5159	0	0	0	238	200	221	274	253	262	110	104	105
2720	Vanløse	17079	7093	12922	17079	7093	12922	0	0	0	13233	5683	9575	3846	1410	3347	0	0	0	295	243	264	317	299	310	1	1	1
2730	Herlev	13726	6068	11473	13639	6032	11392	87	36	81	6341	2733	4657	7384	3334	6815	1	1	1	837	752	795	200	194	198	1147	1118	1122
2740	Skovlunde	5788	2607	4918	5760	2586	4893	28	21	25	3143	1368	2471	2645	1239	2447	0	0	0	231	199	216	68	65	67	1211	1161	1181
2750	Ballerup	14530	6536	12194	14406	6477	12084	124	59	110	8034	3688	6315	6485	2844	5871	11	4	8	603	536	562	222	215	218	2134	2061	2098
2760	Måløv	2517	1014	2143	2507	1007	2133	10	7	10	1059	447	800	1457	567	1342	1	0	1	109	94	102	38	38	38	0	0	0
2765	Smørum	4715	1886	4082	4009	1597	3484	706	289	598	499	185	391	4111	1644	3593	105	57	98	127	99	113	20	19	20	1	0	1
2770	Kastrup	18290	9412	15333	18208	9359	15256	82	53	77	9095	4601	7141	9179	4801	8176	16	10	16	729	643	681	315	288	302	2137	2081	2101
2791	Dragør	7247	3792	6582	6751	3474	6119	496	318	463	1235	645	1041	5947	3107	5478	65	40	63	222	192	215	83	74	77	1053	1006	1034
2800	Kongens Lyngby	21995	7966	16131	21899	7932	16045	96	34	86	13938	5294	9030	8055	2671	7099	2	1	2	694	472	566	487	466	473	0	0	0
2820	Gentofte	10907	4391	8757	10907	4391	8757	0	0	0	5944	2581	4422	4963	1810	4335	0	0	0	294	243	273	164	153	155	117	114	116
2830	Virum	9576	3302	8244	9573	3299	8241	3	3	3	3515	1361	2802	6061	1941	5442	0	0	0	188	135	163	94	82	92	0	0	0
2840	Holte	6704	2225	5502	6629	2197	5444	75	28	58	1963	801	1482	4736	1422	4018	5	2	2	305	223	259	98	89	93	70	68	70
2850	Nærum	4270	1709	3102	4249	1697	3085	21	12	17	2636	1054	1661	1634	655	1441	0	0	0	110	88	98	45	42	44	1	1	1
2860	Søborg	20487	8858	16441	20476	8850	16432	11	8	9	12921	5786	9805	7566	3072	6636	0	0	0	654	538	585	262	245	253	1512	1492	1498
2870	Dyssegård	2927	1192	2262	2927	1192	2262	0	0	0	1755	788	1267	1172	404	995	0	0	0	24	20	24	43	39	41	0	0	0
2880	Bagsværd	8138	3444	6794	8127	3438	6787	11	6	7	4034	1847	3093	4103	1596	3700	1	1	1	215	181	203	112	102	105	218	213	214
2900	Hellerup	11415	4190	8948	11412	4188	8945	3	2	3	6904	2616	5158	4511	1574	3790	0	0	0	477	350	410	313	297	302	1	1	1
2920	Charlottenlund	10721	4650	8844	10721	4650	8844	0	0	0	6362	2972	5079	4359	1678	3765	0	0	0	261	196	224	270	245	255	1	1	1
2930	Klampenborg	1869	814	1585	1853	804	1570	16	10	15	555	269	467	1314	545	1118	0	0	0	74	51	69	26	23	24	0	0	0
2942	Skodsborg	968	358	764	910	331	716	58	27	48	650	247	510	318	111	254	0	0	0	25	18	20	8	6	6	0	0	0
2950	Vedbæk	3424	1252	2771	3307	1197	2678	117	55	93	693	277	505	2721	972	2258	10	3	8	147	109	130	42	38	39	56	52	54
2960	Rungsted Kyst	2398	848	2149	2390	845	2143	8	3	6	407	155	349	1991	693	1800	0	0	0	64	46	59	56	54	55	6	3	5
2970	Hørsholm	9818	3838	8610	9323	3627	8164	495	211	446	3695	1537	3073	6056	2268	5476	67	33	61	481	401	448	214	202	208	161	140	155
2980	Kokkedal	4736	2239	4123	4371	2044	3791	365	195	332	1414	723	1086	3271	1490	2991	51	26	46	105	77	96	25	22	24	2	0	1
2990	Nivå	3854	1857	3333	3819	1838	3299	35	19	34	1006	588	817	2848	1269	2516	0	0	0	120	96	107	24	21	22	1	1	1
3000	Helsingør	16238	7775	13570	15853	7565	13222	385	210	348	10640	5054	8511	5525	2680	4993	73	41	66	563	452	507	425	398	408	367	346	354
3050	Humlebæk	4614	2064	3769	4475	2003	3655	139	61	114	1725	842	1307	2874	1214	2448	15	8	14	125	101	113	48	45	46	22	12	15
3060	Espergærde	5169	2199	4618	5075	2159	4535	94	40	83	1581	734	1346	3583	1463	3268	5	2	4	124	100	117	73	68	71	19	10	14
3070	Snekkersten	2574	1154	2335	2492	1108	2264	82	46	71	160	84	145	2411	1070	2187	3	0	3	20	14	20	16	15	16	3	3	3
3080	Tikøb	623	328	561	271	139	246	352	189	315	17	8	13	564	297	511	42	23	37	17	13	16	4	4	4	214	187	198
3100	Hornbæk	2598	1243	2315	1925	912	1731	673	331	584	193	91	152	2356	1133	2118	49	19	45	77	63	70	56	45	52	1834	1461	1614
3120	Dronningmølle	802	451	735	354	181	326	448	270	409	9	8	9	780	437	714	13	6	12	4	3	3	11	7	10	1247	1055	1127
3140	Ålsgårde	2198	974	1922	2138	940	1863	60	34	59	288	87	175	1898	878	1735	12	9	12	28	24	28	19	19	19	31	15	23
3150	Hellebæk	369	131	337	312	109	286	57	22	51	58	30	54	311	101	283	0	0	0	64	60	62	4	3	4	3	2	3
3200	Helsinge	6529	3288	6110	5059	2539	4717	1470	749	1393	548	345	471	5576	2741	5248	405	202	391	208	178	196	152	145	147	84	67	77
3210	Vejby	1622	902	1487	784	409	720	838	493	767	61	22	28	1499	852	1399	62	28	60	28	21	27	15	14	15	3265	2776	3032
3220	Tisvildeleje	858	381	807	540	227	512	318	154	295	40	15	36	810	363	764	8	3	7	19	13	19	11	8	10	1520	1215	1360
3230	Græsted	4085	2061	3778	2630	1331	2424	1455	730	1354	331	209	307	3418	1704	3165	336	148	306	115	87	107	35	29	33	1331	1152	1247
3250	Gilleleje	4561	2442	4308	3087	1578	2938	1474	864	1370	171	104	158	4293	2281	4056	97	57	94	158	118	149	98	88	94	3116	2703	2900
3300	Frederiksværk	7458	4266	6911	6311	3660	5874	1147	606	1037	1511	866	1300	5902	3377	5569	45	23	42	205	174	197	134	130	132	2431	1972	2196
3310	Ølsted	1663	948	1516	843	449	761	820	499	755	26	15	20	1557	889	1422	80	44	74	22	18	21	10	9	10	772	683	718
3320	Skævinge	2093	1050	1891	1626	804	1458	467	246	433	97	30	43	1787	913	1653	209	107	195	87	70	78	21	18	19	12	11	11
3330	Gørløse	571	298	522	457	239	418	114	59	104	22	18	21	489	253	447	60	27	54	26	22	23	9	8	8	1	0	0
3360	Liseleje	688	384	635	518	292	483	170	92	152	40	22	35	647	361	599	1	1	1	3	3	3	26	24	25	1185	1024	1115
3370	Melby	880	512	832	352	192	339	528	320	493	29	0	29	818	491	770	33	21	33	7	6	6	2	2	2	1214	1051	1128
3390	Hundested	4714	2601	4452	4209	2341	3990	505	260	462	501	302	457	4143	2260	3929	70	39	66	127	102	120	77	64	73	1523	1268	1427
3400	Hillerød	18230	7904	16027	17231	7387	15113	999	517	914	7692	3560	6327	10281	4208	9461	257	136	239	962	780	890	450	425	433	367	354	361
3450	Allerød	8497	3034	7635	8094	2875	7266	403	159	369	1887	863	1570	6557	2143	6015	53	28	50	347	279	321	98	83	90	64	42	46
3460	Birkerød	9801	3457	8440	9458	3316	8141	343	141	299	3753	1608	2955	6015	1836	5454	33	13	31	463	384	426	148	136	141	35	30	32
3480	Fredensborg	5826	2449	5007	4922	1999	4208	904	450	799	761	317	565	4946	2074	4335	119	58	107	261	197	230	68	59	62	62	46	55
3490	Kvistgård	656	343	589	420	213	375	236	130	214	15	6	13	596	312	535	45	25	41	159	146	151	9	8	8	212	206	207
3500	Værløse	8610	2927	7540	8481	2879	7430	129	48	110	1943	836	1541	6636	2078	5968	31	13	31	304	247	291	86	82	86	5	2	4
3520	Farum	8875	3516	7722	8688	3432	7545	187	84	177	3330	1651	2661	5527	1854	5044	18	11	17	355	286	329	115	104	112	12	5	10
3540	Lynge	2117	904	1906	1747	724	1573	370	180	333	114	45	60	1915	818	1765	88	41	81	169	131	155	22	21	22	4	2	2
3550	Slangerup	4207	1957	3741	3432	1572	3059	775	385	682	218	110	172	3852	1780	3440	137	67	129	162	121	146	52	47	51	142	117	125
3600	Frederikssund	9523	4540	8604	8800	4158	7921	723	382	683	2861	1530	2435	6477	2920	5992	185	90	177	367	316	354	269	261	266	5	3	3
3630	Jægerspris	4159	2375	3815	2281	1209	2065	1878	1166	1750	254	126	178	3754	2168	3495	151	81	142	79	58	74	31	28	31	3938	3470	3660
3650	Ølstykke	6647	3002	6053	6249	2777	5678	398	225	375	680	356	578	5878	2596	5389	89	50	86	261	226	249	67	57	66	21	20	21
3660	Stenløse	4840	2082	4310	4442	1872	3945	398	210	365	388	168	299	4289	1831	3856	163	83	155	262	191	237	82	80	80	13	9	10
3670	Veksø Sjælland	1242	520	1054	786	275	639	456	245	415	62	44	53	1078	432	906	102	44	95	20	13	20	7	6	6	75	68	73
3700	Rønne	9387	6906	8814	8322	6184	7842	1065	722	972	1286	964	1161	7779	5717	7337	322	225	316	428	381	403	188	179	184	275	249	259
3720	Aakirkeby	2582	1881	2395	1454	1077	1339	1128	804	1056	69	42	50	2204	1612	2042	309	227	303	93	77	85	41	36	39	901	839	872
3730	Nexø	3057	2202	2897	2441	1783	2312	616	419	585	127	96	119	2825	2035	2678	105	71	100	152	140	146	87	79	85	1300	1200	1239
3740	Svaneke	1192	677	1079	984	552	881	208	125	198	63	26	42	1085	624	995	44	27	42	45	38	41	37	34	36	371	292	322
3751	Østermarie	660	439	615	216	158	205	444	281	410	1	0	1	506	337	469	153	102	145	16	15	16	11	9	10	77	63	66
3760	Gudhjem	1139	769	1069	466	333	440	673	436	629	44	39	40	959	645	893	136	85	136	70	50	58	50	40	45	469	426	441
3770	Allinge	1662	1112	1551	1367	917	1272	295	195	279	85	63	79	1536	1023	1433	41	26	39	107	91	103	74	68	73	940	851	879
3782	Klemensker	558	418	542	311	246	305	247	172	237	0	0	0	494	374	479	64	44	63	15	15	15	5	4	4	17	14	15
3790	Hasle	1275	948	1217	927	720	889	348	228	328	34	29	31	1172	872	1118	69	47	68	50	42	43	26	21	24	380	337	357
4000	Roskilde	34187	14434	29026	31971	13355	27022	2216	1079	2004	15182	6570	11540	18526	7638	17046	479	226	440	1535	1165	1379	706	640	670	673	632	656
4030	Tune	2241	1213	2029	2096	1129	1897	145	84	132	17	4	7	2164	1174	1964	60	35	58	58	43	53	33	31	32	0	0	0
4040	Jyllinge	4161	1971	3705	4137	1959	3682	24	12	23	65	16	28	4087	1949	3668	9	6	9	85	63	72	38	34	36	118	88	102
4050	Skibby	3310	2123	3056	1913	1223	1746	1397	900	1310	263	140	180	2735	1783	2573	312	200	303	97	73	87	44	42	43	1048	924	978
4060	Kirke Såby	1679	973	1564	1046	613	974	633	360	590	24	17	19	1533	897	1431	122	59	114	59	41	57	20	17	18	85	75	78
4070	Kirke Hyllinge	3457	2024	3166	2247	1293	2062	1210	731	1104	70	33	36	3206	1900	2964	181	91	166	109	80	100	16	15	16	1152	1036	1091
4130	Viby Sjælland	2549	1479	2358	1949	1130	1794	600	349	564	179	95	140	2190	1273	2047	180	111	171	78	66	72	35	28	32	0	0	0
4140	Borup	2811	1435	2374	2290	1162	1890	521	273	484	564	305	420	2099	1060	1811	148	70	143	76	61	65	31	30	30	45	38	40
4160	Herlufmagle	2178	1290	2033	1465	864	1358	713	426	675	16	15	16	1908	1135	1774	254	140	243	61	46	56	9	7	8	2	0	0
4190	Munke Bjergby	408	246	377	17	15	17	391	231	360	16	16	16	295	174	269	97	56	92	8	7	8	0	0	0	39	38	39
4200	Slagelse	22484	11989	19277	18547	9867	15678	3937	2122	3599	8832	4799	6889	12731	6727	11519	921	463	869	758	618	694	419	400	407	2536	2221	2378
4220	Korsør	9086	5146	8178	8922	5066	8028	164	80	150	3634	2240	3135	5391	2876	4985	61	30	58	224	193	209	135	127	133	787	690	740
4230	Skælskør	4358	2407	4030	3470	1934	3201	888	473	829	1032	638	907	3103	1650	2908	223	119	215	132	112	129	85	80	83	183	138	156
4241	Vemmelev	1401	740	1301	1094	575	1017	307	165	284	39	33	37	1241	643	1151	121	64	113	55	45	52	9	8	9	2	2	2
4242	Boeslunde	530	283	479	317	159	271	213	124	208	31	2	3	442	248	420	57	33	56	10	10	10	2	2	2	0	0	0
4243	Rude	585	298	539	389	194	359	196	104	180	17	17	17	526	259	480	42	22	42	7	6	7	7	6	7	311	260	278
